,Postcode,Borough,Neighbourhood
0,Adelaide ,M5H,Downtown Toronto
1,Agincourt ,M1S,Scarborough
2,Agincourt North ,M1V,Scarborough
3,Albion Gardens ,M9V,Etobicoke
4,Alderwood ,M8W,Etobicoke
5,Bathurst Manor ,M3H,North York
6,Bathurst Quay ,M5V,Downtown Toronto
7,Bayview Village ,M2K,North York
8,Beaumond Heights ,M9V,Etobicoke
9,Bedford Park ,M5M,North York
10,Berczy Park ,M5E,Downtown Toronto
11,Birch Cliff ,M1N,Scarborough
12,Bloordale Gardens ,M9C,Etobicoke
13,Brockton ,M6K,West Toronto
14,Business Reply Mail Processing Centre 969 Eastern ,M7Y,East Toronto
15,CFB Toronto ,M3K,North York
16,CN Tower ,M5V,Downtown Toronto
17,Cabbagetown ,M4X,Downtown Toronto
18,Caledonia-Fairbanks ,M6E,York
19,Canada Post Gateway Processing Centre ,M7R,Mississauga
20,Cedarbrae ,M1H,Scarborough
21,Central Bay Street ,M5G,Downtown Toronto
22,Chinatown ,M5T,Downtown Toronto
23,Christie ,M6G,Downtown Toronto
24,Church and Wellesley ,M4Y,Downtown Toronto
25,Clairlea ,M1L,Scarborough
26,Clarks Corners ,M1T,Scarborough
27,Cliffcrest ,M1M,Scarborough
28,Cliffside ,M1M,Scarborough
29,Cliffside West ,M1N,Scarborough
30,Cloverdale ,M9B,Etobicoke
31,Commerce Court ,M5L,Downtown Toronto
32,Davisville ,M4S,Central Toronto
33,Davisville North ,M4P,Central Toronto
34,Deer Park ,M4V,Central Toronto
35,Del Ray ,M6M,York
36,Design Exchange ,M5K,Downtown Toronto
37,Don Mills North ,M3B,North York
38,Don Mills South ,M3C,North York
39,Dorset Park ,M1P,Scarborough
40,Dovercourt Village ,M6H,West Toronto
41,Downsview ,M6L,North York
42,Downsview Central ,M3M,North York
43,Downsview East ,M3K,North York
44,Downsview North ,M3H,North York
45,Downsview Northwest ,M3N,North York
46,Downsview West ,M3L,North York
47,Dufferin ,M6H,West Toronto
48,East Birchmount Park ,M1K,Scarborough
49,East Toronto ,M4J,East York
50,Emery ,M9M,North York
51,Eringate ,M9C,Etobicoke
52,Exhibition Place ,M6K,West Toronto
53,Fairview ,M2J,North York
54,First Canadian Place ,M5X,Downtown Toronto
55,Flemingdon Park ,M3C,North York
56,Forest Hill North ,M5P,Central Toronto
57,Forest Hill SE ,M4V,Central Toronto
58,Forest Hill West ,M5P,Central Toronto
59,Garden District ,M5B,Downtown Toronto
60,Glencairn ,M6B,North York
61,Golden Mile ,M1L,Scarborough
62,Grange Park ,M5T,Downtown Toronto
63,Guildwood ,M1E,Scarborough
64,Harbord ,M5S,Downtown Toronto
65,Harbourfront ,M5A,Downtown Toronto
66,Harbourfront East ,M5J,Downtown Toronto
67,Harbourfront West ,M5V,Downtown Toronto
68,Henry Farm ,M2J,North York
69,High Park ,M6P,West Toronto
70,Highland Creek ,M1C,Scarborough
71,Hillcrest Village ,M2H,North York
72,Humber Bay ,M8Y,Etobicoke
73,Humber Bay Shores ,M8V,Etobicoke
74,Humber Summit ,M9L,North York
75,Humbergate ,M9V,Etobicoke
76,Humberlea ,M9M,North York
77,Humewood-Cedarvale ,M6C,York
78,India Bazaar ,M4L,East Toronto
79,Ionview ,M1K,Scarborough
80,Island airport ,M5V,Downtown Toronto
81,Islington ,M9B,Etobicoke
82,Islington Avenue ,M9A,Etobicoke
83,Jamestown ,M9V,Etobicoke
84,Keelesdale ,M6M,York
85,Kennedy Park ,M1K,Scarborough
86,Kensington Market ,M5T,Downtown Toronto
87,King ,M5H,Downtown Toronto
88,King and Spadina ,M5V,Downtown Toronto
89,King's Mill Park ,M8Y,Etobicoke
90,Kingsview Village ,M9R,Etobicoke
91,Kingsway Park South East ,M8Y,Etobicoke
92,Kingsway Park South West ,M8Z,Etobicoke
93,L'Amoreaux East ,M1V,Scarborough
94,L'Amoreaux West ,M1W,Scarborough
95,Lawrence Heights ,M6A,North York
96,Lawrence Manor ,M6A,North York
97,Lawrence Manor East ,M5M,North York
98,Lawrence Park ,M4N,Central Toronto
99,Leaside ,M4G,East York
100,Little Portugal ,M6J,West Toronto
101,Long Branch ,M8W,Etobicoke
102,Malvern ,M1B,Scarborough
103,Markland Wood ,M9C,Etobicoke
104,Martin Grove ,M9B,Etobicoke
105,Martin Grove Gardens ,M9R,Etobicoke
106,Maryvale ,M1R,Scarborough
107,Milliken ,M1V,Scarborough
108,Mimico NE ,M8Y,Etobicoke
109,Mimico NW ,M8Z,Etobicoke
110,Mimico South ,M8V,Etobicoke
111,Montgomery Road ,M8X,Etobicoke
112,Moore Park ,M4T,Central Toronto
113,Morningside ,M1E,Scarborough
114,Mount Dennis ,M6M,York
115,Mount Olive ,M9V,Etobicoke
116,New Toronto ,M8V,Etobicoke
117,Newtonbrook ,M2M,North York
118,North Midtown ,M5R,Central Toronto
119,North Park ,M6L,North York
120,North Toronto West ,M4R,Central Toronto
121,Northwest ,M9W,Etobicoke
122,Northwood Park ,M3J,North York
123,Not assigned ,M1A,M1A
124,Not assigned ,M1Y,M1Y
125,Not assigned ,M1Z,M1Z
126,Not assigned ,M2A,M2A
127,Not assigned ,M2B,M2B
128,Not assigned ,M2C,M2C
129,Not assigned ,M2E,M2E
130,Not assigned ,M2G,M2G
131,Not assigned ,M2S,M2S
132,Not assigned ,M2T,M2T
133,Not assigned ,M2V,M2V
134,Not assigned ,M2W,M2W
135,Not assigned ,M2X,M2X
136,Not assigned ,M2Y,M2Y
137,Not assigned ,M2Z,M2Z
138,Not assigned ,M3E,M3E
139,Not assigned ,M3G,M3G
140,Not assigned ,M3P,M3P
141,Not assigned ,M3R,M3R
142,Not assigned ,M3S,M3S
143,Not assigned ,M3T,M3T
144,Not assigned ,M3V,M3V
145,Not assigned ,M3W,M3W
146,Not assigned ,M3X,M3X
147,Not assigned ,M3Y,M3Y
148,Not assigned ,M3Z,M3Z
149,Not assigned ,M4Z,M4Z
150,Not assigned ,M5Y,M5Y
151,Not assigned ,M5Z,M5Z
152,Not assigned ,M6T,M6T
153,Not assigned ,M6V,M6V
154,Not assigned ,M6W,M6W
155,Not assigned ,M6X,M6X
156,Not assigned ,M6Y,M6Y
157,Not assigned ,M6Z,M6Z
158,Not assigned ,M7A,Queen's Park
159,Not assigned ,M7B,M7B
160,Not assigned ,M7C,M7C
161,Not assigned ,M7E,M7E
162,Not assigned ,M7G,M7G
163,Not assigned ,M7H,M7H
164,Not assigned ,M7J,M7J
165,Not assigned ,M7K,M7K
166,Not assigned ,M7L,M7L
167,Not assigned ,M7M,M7M
168,Not assigned ,M7N,M7N
169,Not assigned ,M7P,M7P
170,Not assigned ,M7S,M7S
171,Not assigned ,M7T,M7T
172,Not assigned ,M7V,M7V
173,Not assigned ,M7W,M7W
174,Not assigned ,M7X,M7X
175,Not assigned ,M7Z,M7Z
176,Not assigned ,M8A,M8A
177,Not assigned ,M8B,M8B
178,Not assigned ,M8C,M8C
179,Not assigned ,M8E,M8E
180,Not assigned ,M8G,M8G
181,Not assigned ,M8H,M8H
182,Not assigned ,M8J,M8J
183,Not assigned ,M8K,M8K
184,Not assigned ,M8L,M8L
185,Not assigned ,M8M,M8M
186,Not assigned ,M8N,M8N
187,Not assigned ,M8P,M8P
188,Not assigned ,M8R,M8R
189,Not assigned ,M8S,M8S
190,Not assigned ,M8T,M8T
191,Not assigned ,M9E,M9E
192,Not assigned ,M9G,M9G
193,Not assigned ,M9H,M9H
194,Not assigned ,M9J,M9J
195,Not assigned ,M9K,M9K
196,Not assigned ,M9S,M9S
197,Not assigned ,M9T,M9T
198,Not assigned ,M9X,M9X
199,Not assigned ,M9Y,M9Y
200,Not assigned ,M9Z,M9Z
201,Oakridge ,M1L,Scarborough
202,Old Burnhamthorpe ,M9C,Etobicoke
203,Old Mill North ,M8X,Etobicoke
204,Old Mill South ,M8Y,Etobicoke
205,Oriole ,M2J,North York
206,Parkdale ,M6R,West Toronto
207,Parkdale Village ,M6K,West Toronto
208,Parkview Hill ,M4B,East York
209,Parkwoods ,M3A,North York
210,Port Union ,M1C,Scarborough
211,Princess Gardens ,M9B,Etobicoke
212,Railway Lands ,M5V,Downtown Toronto
213,Rathnelly ,M4V,Central Toronto
214,Regent Park ,M5A,Downtown Toronto
215,Richmond ,M5H,Downtown Toronto
216,Richview Gardens ,M9R,Etobicoke
217,Riverdale ,M4K,East Toronto
218,Roncesvalles ,M6R,West Toronto
219,Rosedale ,M4W,Downtown Toronto
220,Roselawn ,M5N,Central Toronto
221,Rouge ,M1B,Scarborough
222,Rouge Hill ,M1C,Scarborough
223,Royal York South East ,M8Y,Etobicoke
224,Royal York South West ,M8Z,Etobicoke
225,Runnymede ,M6N,York
226,Runnymede ,M6S,West Toronto
227,Ryerson ,M5B,Downtown Toronto
228,Scarborough Town Centre ,M1P,Scarborough
229,Scarborough Village ,M1J,Scarborough
230,Scarborough Village West ,M1M,Scarborough
231,Silver Hills ,M2L,North York
232,Silverstone ,M9V,Etobicoke
233,Silverthorn ,M6M,York
234,South Hill ,M4V,Central Toronto
235,South Niagara ,M5V,Downtown Toronto
236,South Steeles ,M9V,Etobicoke
237,South of Bloor ,M8Z,Etobicoke
238,St. James Town ,M4X,Downtown Toronto
239,St. James Town ,M5C,Downtown Toronto
240,St. Phillips ,M9R,Etobicoke
241,Steeles East ,M1V,Scarborough
242,Stn A PO Boxes 25 The Esplanade ,M5W,Downtown Toronto
243,Studio District ,M4M,East Toronto
244,Sullivan ,M1T,Scarborough
245,Summerhill East ,M4T,Central Toronto
246,Summerhill West ,M4V,Central Toronto
247,Sunnylea ,M8Y,Etobicoke
248,Swansea ,M6S,West Toronto
249,Tam O'Shanter ,M1T,Scarborough
250,The Annex ,M5R,Central Toronto
251,The Beaches ,M4E,East Toronto
252,The Beaches West ,M4L,East Toronto
253,The Danforth West ,M4K,East Toronto
254,The Junction North ,M6N,York
255,The Junction South ,M6P,West Toronto
256,The Kingsway ,M8X,Etobicoke
257,The Queensway East ,M8Y,Etobicoke
258,The Queensway West ,M8Z,Etobicoke
259,Thistletown ,M9V,Etobicoke
260,Thorncliffe Park ,M4H,East York
261,Toronto Dominion Centre ,M5K,Downtown Toronto
262,Toronto Islands ,M5J,Downtown Toronto
263,Trinity ,M6J,West Toronto
264,Underground city ,M5X,Downtown Toronto
265,Union Station ,M5J,Downtown Toronto
266,University of Toronto ,M5S,Downtown Toronto
267,Upper Rouge ,M1X,Scarborough
268,Upwood Park ,M6L,North York
269,Victoria Hotel ,M5L,Downtown Toronto
270,Victoria Village ,M4A,North York
271,West Deane Park ,M9B,Etobicoke
272,West Hill ,M1E,Scarborough
273,Westmount ,M9P,Etobicoke
274,Weston ,M9N,York
275,Wexford ,M1R,Scarborough
276,Wexford Heights ,M1P,Scarborough
277,Willowdale ,M2M,North York
278,Willowdale South ,M2N,North York
279,Willowdale West ,M2R,North York
280,Wilson Heights ,M3H,North York
281,Woburn ,M1G,Scarborough
282,Woodbine Gardens ,M4B,East York
283,Woodbine Heights ,M4C,East York
284,York Mills ,M2L,North York
285,York Mills West ,M2P,North York
286,York University ,M3J,North York
287,Yorkville ,M5R,Central Toronto
